source_id,title,publisher,url,accessed_date,notes
cfa_mottoouen_2026,もっと子育て応援！児童手当,こども家庭庁,https://www.cfa.go.jp/policies/kokoseido/jidouteate/mottoouen,2026-06-01,現行の支給額・支給時期の主要出典
cfa_annai_2026,児童手当制度のご案内,こども家庭庁,https://www.cfa.go.jp/policies/kokoseido/jidouteate/annai,2026-06-01,児童手当制度案内の参照元
cfa_overview_2025,児童手当制度の概要,こども家庭庁,https://www.cfa.go.jp/assets/contents/node/basic_page/field_ref_resources/bd0560d3-c93c-4a9d-ab2d-d7068a63e8de/a9aac880/20250401_policies_jyouhouseisaku_Jidoteate-hyojunka_r05_bd0560d3_05.pdf,2026-06-01,令和6年9月分までと令和6年10月分以降の比較
mhlw_budget_2024,令和6年度 当初予算 年金特別会計子ども・子育て支援勘定,厚生労働省,https://www.mhlw.go.jp/wp/yosan/kaiji/nenkin31-05.html,2026-06-01,令和6年9月分までの児童手当額の確認
