effective_from,effective_to,payment_month,covered_months,source_id,notes
2012-04-01,2024-09-30,6,2;3;4;5,cfa_overview_2025,拡充前は年3回支給。自治体により支給日は異なる。
2012-04-01,2024-09-30,10,6;7;8;9,cfa_overview_2025,拡充前は年3回支給。自治体により支給日は異なる。
2012-04-01,2024-09-30,2,10;11;12;1,cfa_overview_2025,拡充前は年3回支給。自治体により支給日は異なる。
2024-10-01,,2,12;1,cfa_mottoouen_2026,拡充後は偶数月に前月分までの2か月分を支給。自治体により支給日は異なる。
2024-10-01,,4,2;3,cfa_mottoouen_2026,拡充後は偶数月に前月分までの2か月分を支給。自治体により支給日は異なる。
2024-10-01,,6,4;5,cfa_mottoouen_2026,拡充後は偶数月に前月分までの2か月分を支給。自治体により支給日は異なる。
2024-10-01,,8,6;7,cfa_mottoouen_2026,拡充後は偶数月に前月分までの2か月分を支給。自治体により支給日は異なる。
2024-10-01,,10,8;9,cfa_mottoouen_2026,拡充後は偶数月に前月分までの2か月分を支給。自治体により支給日は異なる。
2024-10-01,,12,10;11,cfa_mottoouen_2026,拡充後は偶数月に前月分までの2か月分を支給。自治体により支給日は異なる。
